---------------------------------------------------------------------------------------------
Output for  sample-f.txt
---------------------------------------------------------------------------------------------
('total number of words=', 2978954)
('total number of distinct words=', 45509)
('popular_threshold_word=', 2276.0)
('common_threshold_l_word=', 21616.0)
('common_threshold_u_word=', 23893.0)
('rare_threshold_word=', 43233.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|Word          |Frequency|
|410 |heaven        |721      |
|411 |chapter       |720      |
|412 |live          |718      |
|413 |hair          |716      |
|414 |sometimes     |713      |
|415 |laws          |711      |
|416 |servant       |710      |
|417 |prick         |709      |
|418 |case          |708      |
|419 |gold          |705      |
|420 |nora          |705      |
|421 |although      |704      |
|422 |terms         |699      |
|423 |around        |698      |
|424 |strong        |696      |
|425 |ten           |694      |
|426 |stand         |693      |
|427 |toward        |692      |
|428 |cut           |691      |
|429 |passed        |691      |
|430 |book          |690      |
|431 |believe       |688      |
|432 |servants      |688      |
|433 |several       |688      |
|434 |true          |687      |
|435 |family        |686      |
|436 |perhaps       |686      |
|437 |river         |686      |
|438 |cast          |684      |
|439 |present       |684      |
|440 |seven         |684      |
|441 |however       |682      |
|442 |six           |682      |
|443 |able          |678      |
|444 |art           |675      |
|445 |subject       |673      |
|446 |blood         |672      |
|447 |hard          |672      |
|448 |number        |668      |
|449 |moment        |664      |
|450 |coming        |660      |
|451 |hold          |656      |
|452 |spake         |652      |
|453 |egypt         |651      |
|454 |large         |648      |
|455 |de            |644      |
|456 |lady          |643      |
|457 |sure          |643      |
|458 |hour          |642      |
|459 |master        |636      |
|460 |meg           |635      |
|461 |returned      |633      |
|462 |truth         |628      |
|463 |fathers       |625      |
|464 |letter        |625      |
|465 |ground        |624      |
|466 |big           |623      |
|467 |brother       |623      |
|468 |already       |620      |
|469 |met           |617      |
|470 |sword         |614      |
|471 |majesty       |612      |
|472 |ship          |612      |
|473 |hope          |610      |
|474 |business      |608      |
|475 |ready         |607      |
|476 |care          |606      |
|477 |clothes       |606      |
|478 |wanted        |605      |
|479 |commanded     |602      |
|480 |priest        |599      |
|481 |means         |598      |
|482 |held          |597      |
|483 |feeling       |595      |
|484 |husband       |595      |
|485 |pleasure      |594      |
|486 |aunt          |593      |
|487 |judge         |590      |
|488 |making        |590      |
|489 |everything    |589      |
|490 |amy           |585      |
|491 |became        |585      |
|492 |daughter      |583      |
|493 |places        |582      |
|494 |except        |580      |
|495 |nearly        |580      |
|496 |sister        |579      |
|497 |die           |577      |
|498 |pretty        |577      |
|499 |else          |575      |
|500 |christ        |573      |
|501 |miss          |573      |
|502 |agreement     |571      |
|503 |behind        |571      |
|504 |dark          |569      |
|505 |indeed        |566      |
|506 |become        |563      |
|507 |tried         |563      |
|508 |united        |563      |
|509 |authority     |557      |
|510 |early         |557      |
|511 |boat          |556      |
|512 |street        |556      |
|513 |silver        |555      |
|514 |desire        |554      |
|515 |office        |554      |
|516 |table         |554      |
|517 |chief         |553      |
|518 |died          |551      |
|519 |laurie        |549      |
|520 |opinion       |549      |
|521 |carried       |548      |
|522 |persons       |548      |
|523 |send          |545      |
|524 |lost          |544      |
|525 |field         |541      |
|526 |kings         |541      |
|527 |less          |541      |
|528 |wealth        |541      |
|529 |doing         |539      |
|530 |drink         |539      |
|531 |air           |538      |
|532 |ought         |538      |
|533 |talk          |537      |
|534 |church        |534      |
|535 |girls         |534      |
|536 |wish          |533      |
|537 |boys          |532      |
|538 |fact          |529      |
|539 |ask           |528      |
|540 |black         |526      |
|541 |necessary     |524      |
|542 |answer        |523      |
|543 |bread         |523      |
|544 |fall          |523      |
|545 |sort          |523      |
|546 |account       |522      |
|547 |kingdom       |522      |
|548 |opened        |522      |
|549 |seeing        |518      |
|550 |strength      |517      |
|551 |close         |516      |
|552 |mean          |514      |
|553 |service       |513      |
|554 |town          |512      |
|555 |flesh         |511      |
|556 |followed      |510      |
|557 |really        |510      |
|558 |walked        |509      |
|559 |spoke         |507      |
|560 |remember      |506      |
|561 |brethren      |504      |
|562 |cities        |504      |
|563 |concerning    |504      |
|564 |sun           |504      |
|565 |getting       |502      |
|566 |living        |501      |
|567 |sir           |501      |
|568 |court         |500      |
|569 |short         |500      |
|570 |sin           |499      |
|571 |understand    |498      |
|572 |priests       |497      |
|573 |soveraign     |497      |
|574 |during        |496      |
|575 |trouble       |495      |
|576 |afraid        |491      |
|577 |least         |491      |
|578 |society       |491      |
|579 |wicked        |490      |
|580 |bear          |489      |
|581 |gods          |489      |
|582 |speech        |489      |
|583 |later         |488      |
|584 |lived         |488      |
|585 |save          |487      |
|586 |arms          |486      |
|587 |thirty        |482      |
|588 |charge        |480      |
|589 |fine          |479      |
|590 |afterwards    |478      |
|591 |story         |478      |
|592 |following     |474      |
|593 |run           |472      |
|594 |form          |471      |
|595 |whale         |471      |
|596 |battle        |470      |
|597 |different     |470      |
|598 |knowledge     |469      |
|599 |evening       |468      |
|600 |meet          |468      |
|601 |spoken        |467      |
|602 |try           |467      |
|603 |paid          |466      |
|604 |sense         |466      |
|605 |mary          |465      |
|606 |line          |464      |
|607 |prince        |464      |
|608 |liberty       |462      |
|609 |ran           |462      |
|610 |age           |458      |
|611 |mighty        |458      |
|612 |walk          |458      |
|613 |pay           |457      |
|614 |glad          |455      |
|615 |standing      |455      |
|616 |third         |454      |
|617 |wrote         |454      |
|618 |judgment      |453      |
|619 |license       |453      |
|620 |need          |452      |
|621 |act           |451      |
|622 |cry           |450      |
|623 |glory         |450      |
|624 |nations       |447      |
|625 |taking        |447      |
|626 |foot          |445      |
|627 |sleep         |445      |
|628 |minute        |444      |
|629 |command       |443      |
|630 |company       |440      |
|631 |married       |440      |
|632 |wise          |440      |
|633 |pray          |438      |
|634 |copy          |437      |
|635 |march         |436      |
|636 |force         |435      |
|637 |midst         |432      |
|638 |please        |432      |
|639 |happy         |431      |
|640 |ways          |431      |
|641 |receive       |430      |
|642 |show          |430      |
|643 |army          |429      |
|644 |towards       |429      |
|645 |quiet         |428      |
|646 |strange       |428      |
|647 |bound         |427      |
|648 |stopped       |426      |
|649 |saul          |425      |
|650 |born          |424      |
|651 |donations     |424      |
|652 |gathered      |424      |
|653 |seem          |424      |
|654 |covenant      |423      |
|655 |literary      |420      |
|656 |point         |420      |
|657 |eye           |419      |
|658 |question      |418      |
|659 |congregation  |417      |
|660 |filled        |416      |
|661 |beth          |414      |
|662 |fast          |414      |
|663 |wall          |414      |
|664 |longer        |413      |
|665 |onely         |413      |
|666 |burnt         |411      |
|667 |destroy       |411      |
|668 |princes       |411      |
|669 |bad           |408      |
|670 |entered       |408      |
|671 |letters       |408      |
|672 |jim           |406      |
|673 |month         |406      |
|674 |purpose       |406      |
|675 |rose          |405      |
|676 |tree          |404      |
|677 |beautiful     |403      |
|678 |wait          |403      |
|679 |enemies       |402      |
|680 |seems         |402      |
|681 |south         |402      |
|682 |appeared      |401      |
|683 |beginning     |400      |
|684 |broken        |400      |
|685 |faustus       |400      |
|686 |delivered     |399      |
|687 |greater       |398      |
|688 |window        |398      |
|689 |honour        |396      |
|690 |thinking      |396      |
|691 |laughed       |395      |
|692 |party         |395      |
|693 |itself        |394      |
